,Date,Nom de l'activité,Description
153,27 Août 2022/31 Août 2022,Balade d’Anton,1h45 de découverte 100%nature.
154,28 Août 2022,Marché d’Antiquités-Brocante,Marché mensuel.
155,29 Août 2022,Courses hippiques,
156,03 Sep 2022,Forum des associations,"(Re)découvrez les associations d’Agon-Coutainville. Riche de sa diversité associative, la commune regorge de clubs et activités différentes (sports, arts, solidarité, etc…) Les associations ..."
157,09 Sep 2022,Sortie d’initiation à la pêche à pied,Pêche aux palourdes.
158,10 Sep 2022/11 Sep 2022,Balade d’Anton,1h45 de découverte 100%nature.
159,24 Sep 2022/25 Sep 2022,Balade d’Anton,1h45 de découverte 100%nature.
160,25 Sep 2022,Marché d’Antiquités-Brocante,Marché mensuel.
161,08 Oct 2022/09 Oct 2022,Balade d’Anton,1h45 de découverte 100%nature.
162,21 Oct 2022,La Contrebasse de Patrick Suskind,"« Après avoir pris la tangente avec Mes Souliers sont rouges, voilà cinq ans, j’ai eu un peu de vague à l’âme pour tout dire. Je suis retombé sur le texte de Suskind La Contrebasse, mon ..."
163,23 Oct 2022,Course d’endurance équestre,
164,26 Oct 2022,Balade d’Anton,1h45 de découverte 100% nature.
165,28 Oct 2022/29 Oct 2022,Balade d’Anton,1h45 de découverte 100%nature.
166,28 Oct 2022,Hot Troubadours en concert,Adaptation des grands succès du music-hall américain.
167,30 Oct 2022,Marché d’Antiquités-Brocante,Marché mensuel.
168,03 Déc 2022/04 Déc 2022,Marché de Noël,"Retrouvez le marché de Noël d’Agon-Coutainville au Foyer des Marettes, les 3 et 4 décembre 2022 ! Les exposants sont invités à s’inscrire dès maintenant pour participer (5€ le mètre ..."
